"filename", "language", "JavaScript", "JSON", "SCSS", "HTML", "JavaScript React", "Markdown", "comment", "blank", "total"
"c:\Users\jespe\Codes\pxlguessr\README.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, -3, -6
"c:\Users\jespe\Codes\pxlguessr\TODO.js", "JavaScript", 0, 0, 0, 0, 0, 0, -8, -3, -11
"c:\Users\jespe\Codes\pxlguessr\package-lock.json", "JSON", 0, -29557, 0, 0, 0, 0, 0, -1, -29558
"c:\Users\jespe\Codes\pxlguessr\package.json", "JSON", 0, -49, 0, 0, 0, 0, 0, -1, -50
"c:\Users\jespe\Codes\pxlguessr\public\index.html", "HTML", 0, 0, 0, -18, 0, 0, 0, -2, -20
"c:\Users\jespe\Codes\pxlguessr\src\App.js", "JavaScript", -28, 0, 0, 0, 0, 0, 0, -4, -32
"c:\Users\jespe\Codes\pxlguessr\src\contexts\GameContext.jsx", "JavaScript React", 0, 0, 0, 0, -137, 0, -1, -15, -153
"c:\Users\jespe\Codes\pxlguessr\src\floatingBg.scss", "SCSS", 0, 0, -52, 0, 0, 0, -4, -4, -60
"c:\Users\jespe\Codes\pxlguessr\src\index.js", "JavaScript", -12, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Users\jespe\Codes\pxlguessr\src\style.scss", "SCSS", 0, 0, -332, 0, 0, 0, -3, -33, -368
"Total", "-", -40, -29606, -384, -18, -137, -3, -16, -68, -30272
