"filename", "language", "JavaScript React", "comment", "blank", "total"
"c:\Users\jespe\Codes\pxlguessr\src\components\Btn.jsx", "JavaScript React", 13, 0, 2, 15
"c:\Users\jespe\Codes\pxlguessr\src\components\Counter.jsx", "JavaScript React", 18, 0, 5, 23
"c:\Users\jespe\Codes\pxlguessr\src\components\Feedback.jsx", "JavaScript React", 93, 0, 8, 101
"c:\Users\jespe\Codes\pxlguessr\src\components\FloatingShapes.jsx", "JavaScript React", 17, 0, 2, 19
"c:\Users\jespe\Codes\pxlguessr\src\components\Game.jsx", "JavaScript React", 30, 0, 3, 33
"c:\Users\jespe\Codes\pxlguessr\src\components\Header.jsx", "JavaScript React", 42, 0, 4, 46
"c:\Users\jespe\Codes\pxlguessr\src\components\HeaderScores.jsx", "JavaScript React", 58, 0, 3, 61
"c:\Users\jespe\Codes\pxlguessr\src\components\Result.jsx", "JavaScript React", 60, 0, 5, 65
"c:\Users\jespe\Codes\pxlguessr\src\components\Start.jsx", "JavaScript React", 35, 0, 3, 38
"c:\Users\jespe\Codes\pxlguessr\src\components\Title.jsx", "JavaScript React", 15, 0, 2, 17
"Total", "-", 381, 0, 37, 418
